experiment_id,exp_title,gene_mutation,gene_deletion,protein_depletion,stress_condition,time_series,chip_input,antibody_control,chip_target,mutation,deletion,depletion,stress,time_point,project_id,model_summary,model_annotation,warning,sample,perturbation,control
SRX19038023,DMSO_H2Bub_IP_Rep1,False,False,False,False,False,False,False,H2BK123ub,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,H2BK123ub-WT,none,Input-WT
SRX19038072,DMSO_Input_4_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038071,DMSO_Input_3_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038070,DMSO_Input_3_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038069,DMSO_Input_2_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038068,DMSO_Input_2_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038067,DMSO_Input_1_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038066,DMSO_Input_1_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038045,IAA_Input_5_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038044,IAA_Input_4_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038042,IAA_Input_3_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038041,IAA_Input_3_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038038,IAA_Input_1_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038034,DMSO_Input_6_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038033,DMSO_Input_6_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038032,DMSO_Input_5_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038031,DMSO_Input_5_Rep1,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19038030,DMSO_Input_4_Rep2,False,False,False,False,False,True,False,,,,,,,PRJNA831793,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
SRX19945092,WT_H3K4me3,False,False,False,False,False,False,False,H3K4me3,,,,,,PRJNA954824,gpt-4o-mini,gpt-4o-2024-08-06,True,H3K4me3-WT,none,Input-WT
SRX19945091,WT_H3 (Set1 control),False,False,False,False,False,False,False,H3,,,,,,PRJNA954824,gpt-4o-mini,gpt-4o-2024-08-06,True,H3-WT,none,Input-WT
SRX19945089,Cla4_input,False,False,False,False,False,True,False,,,,,,,PRJNA954824,gpt-4o-mini,gpt-4o-2024-08-06,True,Input-WT,none,
